Var1,ROILabel,ROIName,R,A,S
Schaefer2018_400Parcels_7Networks_order_FSLMNI152_2mm.cluster084,84,7Networks_LH_DorsAttn_Post_16,-20,-56,66
Schaefer2018_400Parcels_7Networks_order_FSLMNI152_2mm.cluster085,85,7Networks_LH_DorsAttn_Post_17,-14,-50,72
Schaefer2018_400Parcels_7Networks_order_FSLMNI152_2mm.cluster086,86,7Networks_LH_DorsAttn_FEF_1,-40,-2,52
Schaefer2018_400Parcels_7Networks_order_FSLMNI152_2mm.cluster087,87,7Networks_LH_DorsAttn_FEF_2,-26,0,56
Schaefer2018_400Parcels_7Networks_order_FSLMNI152_2mm.cluster088,88,7Networks_LH_DorsAttn_FEF_3,-30,-8,52
Schaefer2018_400Parcels_7Networks_order_FSLMNI152_2mm.cluster089,89,7Networks_LH_DorsAttn_FEF_4,-22,6,64
Schaefer2018_400Parcels_7Networks_order_FSLMNI152_2mm.cluster090,90,7Networks_LH_DorsAttn_PrCv_1,-50,6,26
Schaefer2018_400Parcels_7Networks_order_FSLMNI152_2mm.cluster091,91,7Networks_LH_DorsAttn_PrCv_2,-50,2,38
Schaefer2018_400Parcels_7Networks_order_FSLMNI152_2mm.cluster092,92,7Networks_LH_SalVentAttn_ParOper_1,-54,-32,22
Schaefer2018_400Parcels_7Networks_order_FSLMNI152_2mm.cluster093,93,7Networks_LH_SalVentAttn_ParOper_2,-58,-44,28
Schaefer2018_400Parcels_7Networks_order_FSLMNI152_2mm.cluster094,94,7Networks_LH_SalVentAttn_ParOper_3,-62,-24,32
Schaefer2018_400Parcels_7Networks_order_FSLMNI152_2mm.cluster095,95,7Networks_LH_SalVentAttn_ParOper_4,-62,-36,34
Schaefer2018_400Parcels_7Networks_order_FSLMNI152_2mm.cluster096,96,7Networks_LH_SalVentAttn_TempOcc_1,-58,-54,10
Schaefer2018_400Parcels_7Networks_order_FSLMNI152_2mm.cluster097,97,7Networks_LH_SalVentAttn_FrOperIns_1,-44,6,-16
Schaefer2018_400Parcels_7Networks_order_FSLMNI152_2mm.cluster098,98,7Networks_LH_SalVentAttn_FrOperIns_2,-38,2,-4
Schaefer2018_400Parcels_7Networks_order_FSLMNI152_2mm.cluster099,99,7Networks_LH_SalVentAttn_FrOperIns_3,-32,24,0
Schaefer2018_400Parcels_7Networks_order_FSLMNI152_2mm.cluster100,100,7Networks_LH_SalVentAttn_FrOperIns_4,-40,-14,-2
Schaefer2018_400Parcels_7Networks_order_FSLMNI152_2mm.cluster101,101,7Networks_LH_SalVentAttn_FrOperIns_5,-32,18,8
Schaefer2018_400Parcels_7Networks_order_FSLMNI152_2mm.cluster102,102,7Networks_LH_SalVentAttn_FrOperIns_6,-36,4,10
Schaefer2018_400Parcels_7Networks_order_FSLMNI152_2mm.cluster103,103,7Networks_LH_SalVentAttn_FrOperIns_7,-44,12,2
Schaefer2018_400Parcels_7Networks_order_FSLMNI152_2mm.cluster104,104,7Networks_LH_SalVentAttn_FrOperIns_8,-50,2,4
Schaefer2018_400Parcels_7Networks_order_FSLMNI152_2mm.cluster105,105,7Networks_LH_SalVentAttn_FrOperIns_9,-52,8,14
Schaefer2018_400Parcels_7Networks_order_FSLMNI152_2mm.cluster106,106,7Networks_LH_SalVentAttn_PFCl_1,-28,44,30
Schaefer2018_400Parcels_7Networks_order_FSLMNI152_2mm.cluster107,107,7Networks_LH_SalVentAttn_Med_1,-6,22,32
Schaefer2018_400Parcels_7Networks_order_FSLMNI152_2mm.cluster108,108,7Networks_LH_SalVentAttn_Med_2,-6,0,40
Schaefer2018_400Parcels_7Networks_order_FSLMNI152_2mm.cluster109,109,7Networks_LH_SalVentAttn_Med_3,-12,-28,42
Schaefer2018_400Parcels_7Networks_order_FSLMNI152_2mm.cluster110,110,7Networks_LH_SalVentAttn_Med_4,-6,10,48
Schaefer2018_400Parcels_7Networks_order_FSLMNI152_2mm.cluster111,111,7Networks_LH_SalVentAttn_Med_5,-12,-42,48
Schaefer2018_400Parcels_7Networks_order_FSLMNI152_2mm.cluster112,112,7Networks_LH_SalVentAttn_Med_6,-6,-48,56
Schaefer2018_400Parcels_7Networks_order_FSLMNI152_2mm.cluster113,113,7Networks_LH_SalVentAttn_Med_7,-8,-2,70
Schaefer2018_400Parcels_7Networks_order_FSLMNI152_2mm.cluster114,114,7Networks_LH_Limbic_OFC_1,-12,24,-20
Schaefer2018_400Parcels_7Networks_order_FSLMNI152_2mm.cluster115,115,7Networks_LH_Limbic_OFC_2,-24,22,-20
Schaefer2018_400Parcels_7Networks_order_FSLMNI152_2mm.cluster116,116,7Networks_LH_Limbic_OFC_3,-10,48,-22
Schaefer2018_400Parcels_7Networks_order_FSLMNI152_2mm.cluster117,117,7Networks_LH_Limbic_OFC_4,-4,24,-20
Schaefer2018_400Parcels_7Networks_order_FSLMNI152_2mm.cluster118,118,7Networks_LH_Limbic_OFC_5,-16,64,-8
Schaefer2018_400Parcels_7Networks_order_FSLMNI152_2mm.cluster119,119,7Networks_LH_Limbic_TempPole_1,-38,-6,-42
Schaefer2018_400Parcels_7Networks_order_FSLMNI152_2mm.cluster120,120,7Networks_LH_Limbic_TempPole_2,-24,6,-40
Schaefer2018_400Parcels_7Networks_order_FSLMNI152_2mm.cluster121,121,7Networks_LH_Limbic_TempPole_3,-26,-10,-32
Schaefer2018_400Parcels_7Networks_order_FSLMNI152_2mm.cluster122,122,7Networks_LH_Limbic_TempPole_4,-54,-22,-30
Schaefer2018_400Parcels_7Networks_order_FSLMNI152_2mm.cluster123,123,7Networks_LH_Limbic_TempPole_5,-40,-22,-26
Schaefer2018_400Parcels_7Networks_order_FSLMNI152_2mm.cluster124,124,7Networks_LH_Limbic_TempPole_6,-44,12,-34
Schaefer2018_400Parcels_7Networks_order_FSLMNI152_2mm.cluster125,125,7Networks_LH_Limbic_TempPole_7,-32,12,-30
Schaefer2018_400Parcels_7Networks_order_FSLMNI152_2mm.cluster126,126,7Networks_LH_Limbic_TempPole_8,-20,-20,-26
Schaefer2018_400Parcels_7Networks_order_FSLMNI152_2mm.cluster127,127,7Networks_LH_Cont_Par_1,-28,-74,42
Schaefer2018_400Parcels_7Networks_order_FSLMNI152_2mm.cluster128,128,7Networks_LH_Cont_Par_2,-58,-42,46
Schaefer2018_400Parcels_7Networks_order_FSLMNI152_2mm.cluster129,129,7Networks_LH_Cont_Par_3,-54,-50,44
Schaefer2018_400Parcels_7Networks_order_FSLMNI152_2mm.cluster130,130,7Networks_LH_Cont_Par_4,-34,-62,48
Schaefer2018_400Parcels_7Networks_order_FSLMNI152_2mm.cluster131,131,7Networks_LH_Cont_Par_5,-42,-52,48
Schaefer2018_400Parcels_7Networks_order_FSLMNI152_2mm.cluster132,132,7Networks_LH_Cont_Par_6,-44,-42,46
Schaefer2018_400Parcels_7Networks_order_FSLMNI152_2mm.cluster133,133,7Networks_LH_Cont_Temp_1,-60,-48,-10
Schaefer2018_400Parcels_7Networks_order_FSLMNI152_2mm.cluster134,134,7Networks_LH_Cont_OFC_1,-26,50,-14
Schaefer2018_400Parcels_7Networks_order_FSLMNI152_2mm.cluster135,135,7Networks_LH_Cont_PFCl_1,-42,48,-6
Schaefer2018_400Parcels_7Networks_order_FSLMNI152_2mm.cluster136,136,7Networks_LH_Cont_PFCl_2,-48,36,10
Schaefer2018_400Parcels_7Networks_order_FSLMNI152_2mm.cluster137,137,7Networks_LH_Cont_PFCl_3,-38,50,10
Schaefer2018_400Parcels_7Networks_order_FSLMNI152_2mm.cluster138,138,7Networks_LH_Cont_PFCl_4,-28,56,12
Schaefer2018_400Parcels_7Networks_order_FSLMNI152_2mm.cluster139,139,7Networks_LH_Cont_PFCl_5,-42,38,22
Schaefer2018_400Parcels_7Networks_order_FSLMNI152_2mm.cluster140,140,7Networks_LH_Cont_PFCl_6,-44,20,26
Schaefer2018_400Parcels_7Networks_order_FSLMNI152_2mm.cluster141,141,7Networks_LH_Cont_PFCl_7,-40,8,34
Schaefer2018_400Parcels_7Networks_order_FSLMNI152_2mm.cluster142,142,7Networks_LH_Cont_PFCl_8,-36,32,38
Schaefer2018_400Parcels_7Networks_order_FSLMNI152_2mm.cluster143,143,7Networks_LH_Cont_PFCv_1,-34,16,-8
Schaefer2018_400Parcels_7Networks_order_FSLMNI152_2mm.cluster144,144,7Networks_LH_Cont_pCun_1,-10,-78,46
Schaefer2018_400Parcels_7Networks_order_FSLMNI152_2mm.cluster145,145,7Networks_LH_Cont_pCun_2,-4,-64,52
Schaefer2018_400Parcels_7Networks_order_FSLMNI152_2mm.cluster146,146,7Networks_LH_Cont_Cing_1,-4,6,28
Schaefer2018_400Parcels_7Networks_order_FSLMNI152_2mm.cluster147,147,7Networks_LH_Cont_Cing_2,-4,-22,30
Schaefer2018_400Parcels_7Networks_order_FSLMNI152_2mm.cluster148,148,7Networks_LH_Cont_PFCmp_1,-4,28,48
Schaefer2018_400Parcels_7Networks_order_FSLMNI152_2mm.cluster149,149,7Networks_LH_Default_Temp_1,-54,-2,-30
Schaefer2018_400Parcels_7Networks_order_FSLMNI152_2mm.cluster150,150,7Networks_LH_Default_Temp_2,-62,-18,-20
Schaefer2018_400Parcels_7Networks_order_FSLMNI152_2mm.cluster151,151,7Networks_LH_Default_Temp_3,-60,-36,-18
Schaefer2018_400Parcels_7Networks_order_FSLMNI152_2mm.cluster152,152,7Networks_LH_Default_Temp_4,-56,-8,-14
Schaefer2018_400Parcels_7Networks_order_FSLMNI152_2mm.cluster153,153,7Networks_LH_Default_Temp_5,-52,6,-12
Schaefer2018_400Parcels_7Networks_order_FSLMNI152_2mm.cluster154,154,7Networks_LH_Default_Temp_6,-60,-34,-4
Schaefer2018_400Parcels_7Networks_order_FSLMNI152_2mm.cluster155,155,7Networks_LH_Default_Temp_7,-52,-22,-6
Schaefer2018_400Parcels_7Networks_order_FSLMNI152_2mm.cluster156,156,7Networks_LH_Default_Temp_8,-60,-12,-2
Schaefer2018_400Parcels_7Networks_order_FSLMNI152_2mm.cluster157,157,7Networks_LH_Default_Temp_9,-62,-32,6
Schaefer2018_400Parcels_7Networks_order_FSLMNI152_2mm.cluster158,158,7Networks_LH_Default_Temp_10,-52,-44,4
Schaefer2018_400Parcels_7Networks_order_FSLMNI152_2mm.cluster159,159,7Networks_LH_Default_Par_1,-58,-48,16
Schaefer2018_400Parcels_7Networks_order_FSLMNI152_2mm.cluster160,160,7Networks_LH_Default_Par_2,-46,-58,20
Schaefer2018_400Parcels_7Networks_order_FSLMNI152_2mm.cluster161,161,7Networks_LH_Default_Par_3,-40,-78,30
Schaefer2018_400Parcels_7Networks_order_FSLMNI152_2mm.cluster162,162,7Networks_LH_Default_Par_4,-48,-64,32
Schaefer2018_400Parcels_7Networks_order_FSLMNI152_2mm.cluster163,163,7Networks_LH_Default_Par_5,-56,-54,30
Schaefer2018_400Parcels_7Networks_order_FSLMNI152_2mm.cluster164,164,7Networks_LH_Default_Par_6,-42,-72,44
Schaefer2018_400Parcels_7Networks_order_FSLMNI152_2mm.cluster165,165,7Networks_LH_Default_Par_7,-48,-60,46
Schaefer2018_400Parcels_7Networks_order_FSLMNI152_2mm.cluster166,166,7Networks_LH_Default_PFC_1,-36,22,-16
Schaefer2018_400Parcels_7Networks_order_FSLMNI152_2mm.cluster167,167,7Networks_LH_Default_PFC_2,-36,36,-12
Schaefer2018_400Parcels_7Networks_order_FSLMNI152_2mm.cluster168,168,7Networks_LH_Default_PFC_3,-4,56,-10
Schaefer2018_400Parcels_7Networks_order_FSLMNI152_2mm.cluster169,169,7Networks_LH_Default_PFC_4,-6,36,-8
Schaefer2018_400Parcels_7Networks_order_FSLMNI152_2mm.cluster170,170,7Networks_LH_Default_PFC_5,-46,32,-10
Schaefer2018_400Parcels_7Networks_order_FSLMNI152_2mm.cluster171,171,7Networks_LH_Default_PFC_6,-28,58,0
Schaefer2018_400Parcels_7Networks_order_FSLMNI152_2mm.cluster172,172,7Networks_LH_Default_PFC_7,-48,28,0
Schaefer2018_400Parcels_7Networks_order_FSLMNI152_2mm.cluster173,173,7Networks_LH_Default_PFC_8,-6,60,6
Schaefer2018_400Parcels_7Networks_order_FSLMNI152_2mm.cluster174,174,7Networks_LH_Default_PFC_9,-6,44,6
Schaefer2018_400Parcels_7Networks_order_FSLMNI152_2mm.cluster175,175,7Networks_LH_Default_PFC_10,-54,20,12
Schaefer2018_400Parcels_7Networks_order_FSLMNI152_2mm.cluster176,176,7Networks_LH_Default_PFC_11,-16,68,8
Schaefer2018_400Parcels_7Networks_order_FSLMNI152_2mm.cluster177,177,7Networks_LH_Default_PFC_12,-6,34,20
Schaefer2018_400Parcels_7Networks_order_FSLMNI152_2mm.cluster178,178,7Networks_LH_Default_PFC_13,-4,52,28
Schaefer2018_400Parcels_7Networks_order_FSLMNI152_2mm.cluster179,179,7Networks_LH_Default_PFC_14,-14,58,30
Schaefer2018_400Parcels_7Networks_order_FSLMNI152_2mm.cluster180,180,7Networks_LH_Default_PFC_15,-22,50,32
Schaefer2018_400Parcels_7Networks_order_FSLMNI152_2mm.cluster181,181,7Networks_LH_Default_PFC_16,-24,28,44
Schaefer2018_400Parcels_7Networks_order_FSLMNI152_2mm.cluster182,182,7Networks_LH_Default_PFC_17,-40,20,48
Schaefer2018_400Parcels_7Networks_order_FSLMNI152_2mm.cluster183,183,7Networks_LH_Default_PFC_18,-8,42,52
Schaefer2018_400Parcels_7Networks_order_FSLMNI152_2mm.cluster184,184,7Networks_LH_Default_PFC_19,-18,36,48
Schaefer2018_400Parcels_7Networks_order_FSLMNI152_2mm.cluster185,185,7Networks_LH_Default_PFC_20,-42,8,48
Schaefer2018_400Parcels_7Networks_order_FSLMNI152_2mm.cluster186,186,7Networks_LH_Default_PFC_21,-30,14,58
Schaefer2018_400Parcels_7Networks_order_FSLMNI152_2mm.cluster187,187,7Networks_LH_Default_PFC_22,-22,20,52
Schaefer2018_400Parcels_7Networks_order_FSLMNI152_2mm.cluster188,188,7Networks_LH_Default_PFC_23,-12,24,60
Schaefer2018_400Parcels_7Networks_order_FSLMNI152_2mm.cluster189,189,7Networks_LH_Default_PFC_24,-6,10,64
Schaefer2018_400Parcels_7Networks_order_FSLMNI152_2mm.cluster190,190,7Networks_LH_Default_pCunPCC_1,-8,-52,10
Schaefer2018_400Parcels_7Networks_order_FSLMNI152_2mm.cluster191,191,7Networks_LH_Default_pCunPCC_2,-14,-60,18
Schaefer2018_400Parcels_7Networks_order_FSLMNI152_2mm.cluster192,192,7Networks_LH_Default_pCunPCC_3,-4,-54,20
Schaefer2018_400Parcels_7Networks_order_FSLMNI152_2mm.cluster193,193,7Networks_LH_Default_pCunPCC_4,-6,-40,24
Schaefer2018_400Parcels_7Networks_order_FSLMNI152_2mm.cluster194,194,7Networks_LH_Default_pCunPCC_5,-10,-70,32
Schaefer2018_400Parcels_7Networks_order_FSLMNI152_2mm.cluster195,195,7Networks_LH_Default_pCunPCC_6,-6,-60,30
Schaefer2018_400Parcels_7Networks_order_FSLMNI152_2mm.cluster196,196,7Networks_LH_Default_pCunPCC_7,-8,-44,32
Schaefer2018_400Parcels_7Networks_order_FSLMNI152_2mm.cluster197,197,7Networks_LH_Default_pCunPCC_8,-4,-34,38
Schaefer2018_400Parcels_7Networks_order_FSLMNI152_2mm.cluster198,198,7Networks_LH_Default_pCunPCC_9,-2,-16,38
Schaefer2018_400Parcels_7Networks_order_FSLMNI152_2mm.cluster199,199,7Networks_LH_Default_pCunPCC_10,-2,-68,42
Schaefer2018_400Parcels_7Networks_order_FSLMNI152_2mm.cluster200,200,7Networks_LH_Default_pCunPCC_11,-6,-50,42
Schaefer2018_400Parcels_7Networks_order_FSLMNI152_2mm.cluster201,201,7Networks_RH_Vis_1,34,-36,-24
Schaefer2018_400Parcels_7Networks_order_FSLMNI152_2mm.cluster202,202,7Networks_RH_Vis_2,30,-30,-18
Schaefer2018_400Parcels_7Networks_order_FSLMNI152_2mm.cluster203,203,7Networks_RH_Vis_3,36,-54,-18
Schaefer2018_400Parcels_7Networks_order_FSLMNI152_2mm.cluster204,204,7Networks_RH_Vis_4,38,-74,-16
Schaefer2018_400Parcels_7Networks_order_FSLMNI152_2mm.cluster205,205,7Networks_RH_Vis_5,26,-52,-8
Schaefer2018_400Parcels_7Networks_order_FSLMNI152_2mm.cluster206,206,7Networks_RH_Vis_6,24,-74,-10
Schaefer2018_400Parcels_7Networks_order_FSLMNI152_2mm.cluster207,207,7Networks_RH_Vis_7,18,-36,-12
Schaefer2018_400Parcels_7Networks_order_FSLMNI152_2mm.cluster208,208,7Networks_RH_Vis_8,20,-88,-12
Schaefer2018_400Parcels_7Networks_order_FSLMNI152_2mm.cluster209,209,7Networks_RH_Vis_9,50,-64,-10
Schaefer2018_400Parcels_7Networks_order_FSLMNI152_2mm.cluster210,210,7Networks_RH_Vis_10,42,-84,-12
Schaefer2018_400Parcels_7Networks_order_FSLMNI152_2mm.cluster211,211,7Networks_RH_Vis_11,10,-72,-6
Schaefer2018_400Parcels_7Networks_order_FSLMNI152_2mm.cluster212,212,7Networks_RH_Vis_12,14,-58,-4
Schaefer2018_400Parcels_7Networks_order_FSLMNI152_2mm.cluster213,213,7Networks_RH_Vis_13,26,-96,-10
Schaefer2018_400Parcels_7Networks_order_FSLMNI152_2mm.cluster214,214,7Networks_RH_Vis_14,18,-44,-2
Schaefer2018_400Parcels_7Networks_order_FSLMNI152_2mm.cluster215,215,7Networks_RH_Vis_15,8,-92,-2
Schaefer2018_400Parcels_7Networks_order_FSLMNI152_2mm.cluster216,216,7Networks_RH_Vis_16,48,-66,4
Schaefer2018_400Parcels_7Networks_order_FSLMNI152_2mm.cluster217,217,7Networks_RH_Vis_17,14,-46,4
Schaefer2018_400Parcels_7Networks_order_FSLMNI152_2mm.cluster218,218,7Networks_RH_Vis_18,36,-88,2
Schaefer2018_400Parcels_7Networks_order_FSLMNI152_2mm.cluster219,219,7Networks_RH_Vis_19,10,-74,8
Schaefer2018_400Parcels_7Networks_order_FSLMNI152_2mm.cluster220,220,7Networks_RH_Vis_20,22,-60,6
Schaefer2018_400Parcels_7Networks_order_FSLMNI152_2mm.cluster221,221,7Networks_RH_Vis_21,24,-98,8
Schaefer2018_400Parcels_7Networks_order_FSLMNI152_2mm.cluster222,222,7Networks_RH_Vis_22,44,-78,10
Schaefer2018_400Parcels_7Networks_order_FSLMNI152_2mm.cluster223,223,7Networks_RH_Vis_23,12,-94,18
Schaefer2018_400Parcels_7Networks_order_FSLMNI152_2mm.cluster224,224,7Networks_RH_Vis_24,16,-66,18
Schaefer2018_400Parcels_7Networks_order_FSLMNI152_2mm.cluster225,225,7Networks_RH_Vis_25,4,-80,24
Schaefer2018_400Parcels_7Networks_order_FSLMNI152_2mm.cluster226,226,7Networks_RH_Vis_26,28,-88,20
Schaefer2018_400Parcels_7Networks_order_FSLMNI152_2mm.cluster227,227,7Networks_RH_Vis_27,36,-78,24
Schaefer2018_400Parcels_7Networks_order_FSLMNI152_2mm.cluster228,228,7Networks_RH_Vis_28,14,-78,34
Schaefer2018_400Parcels_7Networks_order_FSLMNI152_2mm.cluster229,229,7Networks_RH_Vis_29,16,-86,36
Schaefer2018_400Parcels_7Networks_order_FSLMNI152_2mm.cluster230,230,7Networks_RH_Vis_30,30,-78,36
Schaefer2018_400Parcels_7Networks_order_FSLMNI152_2mm.cluster231,231,7Networks_RH_SomMot_1,52,4,-6
Schaefer2018_400Parcels_7Networks_order_FSLMNI152_2mm.cluster232,232,7Networks_RH_SomMot_2,62,-18,0
Schaefer2018_400Parcels_7Networks_order_FSLMNI152_2mm.cluster233,233,7Networks_RH_SomMot_3,54,-14,6
Schaefer2018_400Parcels_7Networks_order_FSLMNI152_2mm.cluster234,234,7Networks_RH_SomMot_4,40,-20,4
Schaefer2018_400Parcels_7Networks_order_FSLMNI152_2mm.cluster235,235,7Networks_RH_SomMot_5,38,-8,14
Schaefer2018_400Parcels_7Networks_order_FSLMNI152_2mm.cluster236,236,7Networks_RH_SomMot_6,34,-22,14
Schaefer2018_400Parcels_7Networks_order_FSLMNI152_2mm.cluster237,237,7Networks_RH_SomMot_7,60,-24,10
Schaefer2018_400Parcels_7Networks_order_FSLMNI152_2mm.cluster238,238,7Networks_RH_SomMot_8,64,-34,10
Schaefer2018_400Parcels_7Networks_order_FSLMNI152_2mm.cluster239,239,7Networks_RH_SomMot_9,42,-14,18
Schaefer2018_400Parcels_7Networks_order_FSLMNI152_2mm.cluster240,240,7Networks_RH_SomMot_10,42,-30,18
Schaefer2018_400Parcels_7Networks_order_FSLMNI152_2mm.cluster241,241,7Networks_RH_SomMot_11,50,-10,14
Schaefer2018_400Parcels_7Networks_order_FSLMNI152_2mm.cluster242,242,7Networks_RH_SomMot_12,60,0,10
Schaefer2018_400Parcels_7Networks_order_FSLMNI152_2mm.cluster243,243,7Networks_RH_SomMot_13,48,-22,18
Schaefer2018_400Parcels_7Networks_order_FSLMNI152_2mm.cluster244,244,7Networks_RH_SomMot_14,62,-12,16
Schaefer2018_400Parcels_7Networks_order_FSLMNI152_2mm.cluster245,245,7Networks_RH_SomMot_15,60,6,30
Schaefer2018_400Parcels_7Networks_order_FSLMNI152_2mm.cluster246,246,7Networks_RH_SomMot_16,60,-6,26
Schaefer2018_400Parcels_7Networks_order_FSLMNI152_2mm.cluster247,247,7Networks_RH_SomMot_17,62,-14,30
Schaefer2018_400Parcels_7Networks_order_FSLMNI152_2mm.cluster248,248,7Networks_RH_SomMot_18,52,-6,38
Schaefer2018_400Parcels_7Networks_order_FSLMNI152_2mm.cluster249,249,7Networks_RH_SomMot_19,54,-16,40
Schaefer2018_400Parcels_7Networks_order_FSLMNI152_2mm.cluster250,250,7Networks_RH_SomMot_20,12,-18,42
Schaefer2018_400Parcels_7Networks_order_FSLMNI152_2mm.cluster251,251,7Networks_RH_SomMot_21,52,-12,50
Schaefer2018_400Parcels_7Networks_order_FSLMNI152_2mm.cluster252,252,7Networks_RH_SomMot_22,44,-10,48
Schaefer2018_400Parcels_7Networks_order_FSLMNI152_2mm.cluster253,253,7Networks_RH_SomMot_23,50,-26,56
Schaefer2018_400Parcels_7Networks_order_FSLMNI152_2mm.cluster254,254,7Networks_RH_SomMot_24,6,-10,52
Schaefer2018_400Parcels_7Networks_order_FSLMNI152_2mm.cluster255,255,7Networks_RH_SomMot_25,44,-22,54
Schaefer2018_400Parcels_7Networks_order_FSLMNI152_2mm.cluster256,256,7Networks_RH_SomMot_26,38,-20,64
Schaefer2018_400Parcels_7Networks_order_FSLMNI152_2mm.cluster257,257,7Networks_RH_SomMot_27,32,-34,64
Schaefer2018_400Parcels_7Networks_order_FSLMNI152_2mm.cluster258,258,7Networks_RH_SomMot_28,30,-40,64
Schaefer2018_400Parcels_7Networks_order_FSLMNI152_2mm.cluster259,259,7Networks_RH_SomMot_29,34,-28,62
Schaefer2018_400Parcels_7Networks_order_FSLMNI152_2mm.cluster260,260,7Networks_RH_SomMot_30,4,-24,58
Schaefer2018_400Parcels_7Networks_order_FSLMNI152_2mm.cluster261,261,7Networks_RH_SomMot_31,28,-10,64
Schaefer2018_400Parcels_7Networks_order_FSLMNI152_2mm.cluster262,262,7Networks_RH_SomMot_32,10,-40,68
Schaefer2018_400Parcels_7Networks_order_FSLMNI152_2mm.cluster263,263,7Networks_RH_SomMot_33,22,-24,66
Schaefer2018_400Parcels_7Networks_order_FSLMNI152_2mm.cluster264,264,7Networks_RH_SomMot_34,22,-28,68
