Var1,ROILabel,ROIName,R,A,S
Schaefer2018_400Parcels_7Networks_order_FSLMNI152_2mm.cluster265,265,7Networks_RH_SomMot_35,22,-34,70
Schaefer2018_400Parcels_7Networks_order_FSLMNI152_2mm.cluster266,266,7Networks_RH_SomMot_36,16,-6,70
Schaefer2018_400Parcels_7Networks_order_FSLMNI152_2mm.cluster267,267,7Networks_RH_SomMot_37,16,-46,74
Schaefer2018_400Parcels_7Networks_order_FSLMNI152_2mm.cluster268,268,7Networks_RH_SomMot_38,6,-22,72
Schaefer2018_400Parcels_7Networks_order_FSLMNI152_2mm.cluster269,269,7Networks_RH_SomMot_39,16,-18,74
Schaefer2018_400Parcels_7Networks_order_FSLMNI152_2mm.cluster270,270,7Networks_RH_SomMot_40,12,-32,76
Schaefer2018_400Parcels_7Networks_order_FSLMNI152_2mm.cluster271,271,7Networks_RH_DorsAttn_Post_1,50,-50,-18
Schaefer2018_400Parcels_7Networks_order_FSLMNI152_2mm.cluster272,272,7Networks_RH_DorsAttn_Post_2,60,-54,-2
Schaefer2018_400Parcels_7Networks_order_FSLMNI152_2mm.cluster273,273,7Networks_RH_DorsAttn_Post_3,54,-56,12
Schaefer2018_400Parcels_7Networks_order_FSLMNI152_2mm.cluster274,274,7Networks_RH_DorsAttn_Post_4,46,-76,30
Schaefer2018_400Parcels_7Networks_order_FSLMNI152_2mm.cluster275,275,7Networks_RH_DorsAttn_Post_5,32,-66,36
Schaefer2018_400Parcels_7Networks_order_FSLMNI152_2mm.cluster276,276,7Networks_RH_DorsAttn_Post_6,58,-22,44
Schaefer2018_400Parcels_7Networks_order_FSLMNI152_2mm.cluster277,277,7Networks_RH_DorsAttn_Post_7,18,-78,50
Schaefer2018_400Parcels_7Networks_order_FSLMNI152_2mm.cluster278,278,7Networks_RH_DorsAttn_Post_8,44,-38,50
Schaefer2018_400Parcels_7Networks_order_FSLMNI152_2mm.cluster279,279,7Networks_RH_DorsAttn_Post_9,46,-28,42
Schaefer2018_400Parcels_7Networks_order_FSLMNI152_2mm.cluster280,280,7Networks_RH_DorsAttn_Post_10,30,-64,52
Schaefer2018_400Parcels_7Networks_order_FSLMNI152_2mm.cluster281,281,7Networks_RH_DorsAttn_Post_11,36,-44,44
Schaefer2018_400Parcels_7Networks_order_FSLMNI152_2mm.cluster282,282,7Networks_RH_DorsAttn_Post_12,20,-68,52
Schaefer2018_400Parcels_7Networks_order_FSLMNI152_2mm.cluster283,283,7Networks_RH_DorsAttn_Post_13,36,-36,52
Schaefer2018_400Parcels_7Networks_order_FSLMNI152_2mm.cluster284,284,7Networks_RH_DorsAttn_Post_14,34,-50,54
Schaefer2018_400Parcels_7Networks_order_FSLMNI152_2mm.cluster285,285,7Networks_RH_DorsAttn_Post_15,8,-72,52
Schaefer2018_400Parcels_7Networks_order_FSLMNI152_2mm.cluster286,286,7Networks_RH_DorsAttn_Post_16,26,-58,60
Schaefer2018_400Parcels_7Networks_order_FSLMNI152_2mm.cluster287,287,7Networks_RH_DorsAttn_Post_17,8,-54,60
Schaefer2018_400Parcels_7Networks_order_FSLMNI152_2mm.cluster288,288,7Networks_RH_DorsAttn_Post_18,14,-64,64
Schaefer2018_400Parcels_7Networks_order_FSLMNI152_2mm.cluster289,289,7Networks_RH_DorsAttn_Post_19,24,-50,68
Schaefer2018_400Parcels_7Networks_order_FSLMNI152_2mm.cluster290,290,7Networks_RH_DorsAttn_FEF_1,40,-4,52
Schaefer2018_400Parcels_7Networks_order_FSLMNI152_2mm.cluster291,291,7Networks_RH_DorsAttn_FEF_2,28,-4,52
Schaefer2018_400Parcels_7Networks_order_FSLMNI152_2mm.cluster292,292,7Networks_RH_DorsAttn_FEF_3,24,-2,64
Schaefer2018_400Parcels_7Networks_order_FSLMNI152_2mm.cluster293,293,7Networks_RH_DorsAttn_PrCv_1,48,8,24
Schaefer2018_400Parcels_7Networks_order_FSLMNI152_2mm.cluster294,294,7Networks_RH_SalVentAttn_TempOccPar_1,60,-46,6
Schaefer2018_400Parcels_7Networks_order_FSLMNI152_2mm.cluster295,295,7Networks_RH_SalVentAttn_TempOccPar_2,52,-40,12
Schaefer2018_400Parcels_7Networks_order_FSLMNI152_2mm.cluster296,296,7Networks_RH_SalVentAttn_TempOccPar_3,62,-40,22
Schaefer2018_400Parcels_7Networks_order_FSLMNI152_2mm.cluster297,297,7Networks_RH_SalVentAttn_TempOccPar_4,58,-32,24
Schaefer2018_400Parcels_7Networks_order_FSLMNI152_2mm.cluster298,298,7Networks_RH_SalVentAttn_TempOccPar_5,60,-22,22
Schaefer2018_400Parcels_7Networks_order_FSLMNI152_2mm.cluster299,299,7Networks_RH_SalVentAttn_TempOccPar_6,62,-26,38
Schaefer2018_400Parcels_7Networks_order_FSLMNI152_2mm.cluster300,300,7Networks_RH_SalVentAttn_TempOccPar_7,62,-38,36
Schaefer2018_400Parcels_7Networks_order_FSLMNI152_2mm.cluster301,301,7Networks_RH_SalVentAttn_PrC_1,52,4,40
Schaefer2018_400Parcels_7Networks_order_FSLMNI152_2mm.cluster302,302,7Networks_RH_SalVentAttn_FrOperIns_1,40,6,-16
Schaefer2018_400Parcels_7Networks_order_FSLMNI152_2mm.cluster303,303,7Networks_RH_SalVentAttn_FrOperIns_2,40,8,-2
Schaefer2018_400Parcels_7Networks_order_FSLMNI152_2mm.cluster304,304,7Networks_RH_SalVentAttn_FrOperIns_3,40,-10,-4
Schaefer2018_400Parcels_7Networks_order_FSLMNI152_2mm.cluster305,305,7Networks_RH_SalVentAttn_FrOperIns_4,40,-2,6
Schaefer2018_400Parcels_7Networks_order_FSLMNI152_2mm.cluster306,306,7Networks_RH_SalVentAttn_FrOperIns_5,36,22,4
Schaefer2018_400Parcels_7Networks_order_FSLMNI152_2mm.cluster307,307,7Networks_RH_SalVentAttn_FrOperIns_6,38,8,10
Schaefer2018_400Parcels_7Networks_order_FSLMNI152_2mm.cluster308,308,7Networks_RH_SalVentAttn_FrOperIns_7,48,4,4
Schaefer2018_400Parcels_7Networks_order_FSLMNI152_2mm.cluster309,309,7Networks_RH_SalVentAttn_FrOperIns_8,54,12,12
Schaefer2018_400Parcels_7Networks_order_FSLMNI152_2mm.cluster310,310,7Networks_RH_SalVentAttn_PFCl_1,32,44,28
Schaefer2018_400Parcels_7Networks_order_FSLMNI152_2mm.cluster311,311,7Networks_RH_SalVentAttn_Med_1,8,18,36
Schaefer2018_400Parcels_7Networks_order_FSLMNI152_2mm.cluster312,312,7Networks_RH_SalVentAttn_Med_2,8,2,42
Schaefer2018_400Parcels_7Networks_order_FSLMNI152_2mm.cluster313,313,7Networks_RH_SalVentAttn_Med_3,12,-34,42
Schaefer2018_400Parcels_7Networks_order_FSLMNI152_2mm.cluster314,314,7Networks_RH_SalVentAttn_Med_4,6,10,58
Schaefer2018_400Parcels_7Networks_order_FSLMNI152_2mm.cluster315,315,7Networks_RH_SalVentAttn_Med_5,10,-44,54
Schaefer2018_400Parcels_7Networks_order_FSLMNI152_2mm.cluster316,316,7Networks_RH_SalVentAttn_Med_6,10,-32,50
Schaefer2018_400Parcels_7Networks_order_FSLMNI152_2mm.cluster317,317,7Networks_RH_SalVentAttn_Med_7,6,-2,66
Schaefer2018_400Parcels_7Networks_order_FSLMNI152_2mm.cluster318,318,7Networks_RH_SalVentAttn_Med_8,16,6,70
Schaefer2018_400Parcels_7Networks_order_FSLMNI152_2mm.cluster319,319,7Networks_RH_Limbic_OFC_1,14,24,-20
Schaefer2018_400Parcels_7Networks_order_FSLMNI152_2mm.cluster320,320,7Networks_RH_Limbic_OFC_2,22,22,-20
Schaefer2018_400Parcels_7Networks_order_FSLMNI152_2mm.cluster321,321,7Networks_RH_Limbic_OFC_3,8,46,-24
Schaefer2018_400Parcels_7Networks_order_FSLMNI152_2mm.cluster322,322,7Networks_RH_Limbic_OFC_4,20,42,-18
Schaefer2018_400Parcels_7Networks_order_FSLMNI152_2mm.cluster323,323,7Networks_RH_Limbic_OFC_5,4,22,-20
Schaefer2018_400Parcels_7Networks_order_FSLMNI152_2mm.cluster324,324,7Networks_RH_Limbic_OFC_6,10,62,-14
Schaefer2018_400Parcels_7Networks_order_FSLMNI152_2mm.cluster325,325,7Networks_RH_Limbic_TempPole_1,28,-2,-40
Schaefer2018_400Parcels_7Networks_order_FSLMNI152_2mm.cluster326,326,7Networks_RH_Limbic_TempPole_2,48,-6,-40
Schaefer2018_400Parcels_7Networks_order_FSLMNI152_2mm.cluster327,327,7Networks_RH_Limbic_TempPole_3,36,18,-38
Schaefer2018_400Parcels_7Networks_order_FSLMNI152_2mm.cluster328,328,7Networks_RH_Limbic_TempPole_4,40,-14,-32
Schaefer2018_400Parcels_7Networks_order_FSLMNI152_2mm.cluster329,329,7Networks_RH_Limbic_TempPole_5,28,12,-30
Schaefer2018_400Parcels_7Networks_order_FSLMNI152_2mm.cluster330,330,7Networks_RH_Limbic_TempPole_6,50,-28,-26
Schaefer2018_400Parcels_7Networks_order_FSLMNI152_2mm.cluster331,331,7Networks_RH_Limbic_TempPole_7,22,-18,-28
Schaefer2018_400Parcels_7Networks_order_FSLMNI152_2mm.cluster332,332,7Networks_RH_Cont_Par_1,54,-52,44
Schaefer2018_400Parcels_7Networks_order_FSLMNI152_2mm.cluster333,333,7Networks_RH_Cont_Par_2,56,-40,48
Schaefer2018_400Parcels_7Networks_order_FSLMNI152_2mm.cluster334,334,7Networks_RH_Cont_Par_3,36,-70,46
Schaefer2018_400Parcels_7Networks_order_FSLMNI152_2mm.cluster335,335,7Networks_RH_Cont_Par_4,54,-32,52
Schaefer2018_400Parcels_7Networks_order_FSLMNI152_2mm.cluster336,336,7Networks_RH_Cont_Par_5,46,-44,46
Schaefer2018_400Parcels_7Networks_order_FSLMNI152_2mm.cluster337,337,7Networks_RH_Cont_Par_6,42,-56,48
Schaefer2018_400Parcels_7Networks_order_FSLMNI152_2mm.cluster338,338,7Networks_RH_Cont_Temp_1,62,-28,-20
Schaefer2018_400Parcels_7Networks_order_FSLMNI152_2mm.cluster339,339,7Networks_RH_Cont_Temp_2,64,-42,-10
Schaefer2018_400Parcels_7Networks_order_FSLMNI152_2mm.cluster340,340,7Networks_RH_Cont_PFCv_1,34,22,-8
Schaefer2018_400Parcels_7Networks_order_FSLMNI152_2mm.cluster341,341,7Networks_RH_Cont_PFCl_1,28,54,-14
Schaefer2018_400Parcels_7Networks_order_FSLMNI152_2mm.cluster342,342,7Networks_RH_Cont_PFCl_2,42,50,-6
Schaefer2018_400Parcels_7Networks_order_FSLMNI152_2mm.cluster343,343,7Networks_RH_Cont_PFCl_3,28,60,2
Schaefer2018_400Parcels_7Networks_order_FSLMNI152_2mm.cluster344,344,7Networks_RH_Cont_PFCl_4,50,40,6
Schaefer2018_400Parcels_7Networks_order_FSLMNI152_2mm.cluster345,345,7Networks_RH_Cont_PFCl_5,42,46,14
Schaefer2018_400Parcels_7Networks_order_FSLMNI152_2mm.cluster346,346,7Networks_RH_Cont_PFCl_6,50,30,18
Schaefer2018_400Parcels_7Networks_order_FSLMNI152_2mm.cluster347,347,7Networks_RH_Cont_PFCl_7,48,18,24
Schaefer2018_400Parcels_7Networks_order_FSLMNI152_2mm.cluster348,348,7Networks_RH_Cont_PFCl_8,26,54,24
Schaefer2018_400Parcels_7Networks_order_FSLMNI152_2mm.cluster349,349,7Networks_RH_Cont_PFCl_9,48,28,28
Schaefer2018_400Parcels_7Networks_order_FSLMNI152_2mm.cluster350,350,7Networks_RH_Cont_PFCl_10,38,10,34
Schaefer2018_400Parcels_7Networks_order_FSLMNI152_2mm.cluster351,351,7Networks_RH_Cont_PFCl_11,38,34,38
Schaefer2018_400Parcels_7Networks_order_FSLMNI152_2mm.cluster352,352,7Networks_RH_Cont_PFCl_12,44,18,44
Schaefer2018_400Parcels_7Networks_order_FSLMNI152_2mm.cluster353,353,7Networks_RH_Cont_PFCl_13,42,6,50
Schaefer2018_400Parcels_7Networks_order_FSLMNI152_2mm.cluster354,354,7Networks_RH_Cont_PFCl_14,34,16,56
Schaefer2018_400Parcels_7Networks_order_FSLMNI152_2mm.cluster355,355,7Networks_RH_Cont_PFCl_15,24,10,58
Schaefer2018_400Parcels_7Networks_order_FSLMNI152_2mm.cluster356,356,7Networks_RH_Cont_pCun_1,14,-72,40
Schaefer2018_400Parcels_7Networks_order_FSLMNI152_2mm.cluster357,357,7Networks_RH_Cont_pCun_2,6,-64,44
Schaefer2018_400Parcels_7Networks_order_FSLMNI152_2mm.cluster358,358,7Networks_RH_Cont_Cing_1,6,-28,28
Schaefer2018_400Parcels_7Networks_order_FSLMNI152_2mm.cluster359,359,7Networks_RH_Cont_Cing_2,4,2,30
Schaefer2018_400Parcels_7Networks_order_FSLMNI152_2mm.cluster360,360,7Networks_RH_Cont_PFCmp_1,8,34,24
Schaefer2018_400Parcels_7Networks_order_FSLMNI152_2mm.cluster361,361,7Networks_RH_Cont_PFCmp_2,4,28,48
Schaefer2018_400Parcels_7Networks_order_FSLMNI152_2mm.cluster362,362,7Networks_RH_Default_Par_1,54,-46,20
Schaefer2018_400Parcels_7Networks_order_FSLMNI152_2mm.cluster363,363,7Networks_RH_Default_Par_2,48,-64,22
Schaefer2018_400Parcels_7Networks_order_FSLMNI152_2mm.cluster364,364,7Networks_RH_Default_Par_3,54,-54,26
Schaefer2018_400Parcels_7Networks_order_FSLMNI152_2mm.cluster365,365,7Networks_RH_Default_Par_4,56,-46,32
Schaefer2018_400Parcels_7Networks_order_FSLMNI152_2mm.cluster366,366,7Networks_RH_Default_Par_5,48,-64,42
Schaefer2018_400Parcels_7Networks_order_FSLMNI152_2mm.cluster367,367,7Networks_RH_Default_Temp_1,50,8,-32
Schaefer2018_400Parcels_7Networks_order_FSLMNI152_2mm.cluster368,368,7Networks_RH_Default_Temp_2,60,-8,-24
Schaefer2018_400Parcels_7Networks_order_FSLMNI152_2mm.cluster369,369,7Networks_RH_Default_Temp_3,48,16,-20
Schaefer2018_400Parcels_7Networks_order_FSLMNI152_2mm.cluster370,370,7Networks_RH_Default_Temp_4,54,-4,-14
Schaefer2018_400Parcels_7Networks_order_FSLMNI152_2mm.cluster371,371,7Networks_RH_Default_Temp_5,64,-24,-8
Schaefer2018_400Parcels_7Networks_order_FSLMNI152_2mm.cluster372,372,7Networks_RH_Default_Temp_6,48,-20,-8
Schaefer2018_400Parcels_7Networks_order_FSLMNI152_2mm.cluster373,373,7Networks_RH_Default_Temp_7,64,-38,0
Schaefer2018_400Parcels_7Networks_order_FSLMNI152_2mm.cluster374,374,7Networks_RH_Default_Temp_8,50,-34,2
Schaefer2018_400Parcels_7Networks_order_FSLMNI152_2mm.cluster375,375,7Networks_RH_Default_PFCv_1,34,22,-18
Schaefer2018_400Parcels_7Networks_order_FSLMNI152_2mm.cluster376,376,7Networks_RH_Default_PFCv_2,36,38,-14
Schaefer2018_400Parcels_7Networks_order_FSLMNI152_2mm.cluster377,377,7Networks_RH_Default_PFCv_3,48,32,-8
Schaefer2018_400Parcels_7Networks_order_FSLMNI152_2mm.cluster378,378,7Networks_RH_Default_PFCv_4,54,24,6
Schaefer2018_400Parcels_7Networks_order_FSLMNI152_2mm.cluster379,379,7Networks_RH_Default_PFCdPFCm_1,6,42,-10
Schaefer2018_400Parcels_7Networks_order_FSLMNI152_2mm.cluster380,380,7Networks_RH_Default_PFCdPFCm_2,10,66,0
Schaefer2018_400Parcels_7Networks_order_FSLMNI152_2mm.cluster381,381,7Networks_RH_Default_PFCdPFCm_3,8,42,4
Schaefer2018_400Parcels_7Networks_order_FSLMNI152_2mm.cluster382,382,7Networks_RH_Default_PFCdPFCm_4,8,54,12
Schaefer2018_400Parcels_7Networks_order_FSLMNI152_2mm.cluster383,383,7Networks_RH_Default_PFCdPFCm_5,18,64,16
Schaefer2018_400Parcels_7Networks_order_FSLMNI152_2mm.cluster384,384,7Networks_RH_Default_PFCdPFCm_6,6,26,18
Schaefer2018_400Parcels_7Networks_order_FSLMNI152_2mm.cluster385,385,7Networks_RH_Default_PFCdPFCm_7,6,58,30
Schaefer2018_400Parcels_7Networks_order_FSLMNI152_2mm.cluster386,386,7Networks_RH_Default_PFCdPFCm_8,16,52,36
Schaefer2018_400Parcels_7Networks_order_FSLMNI152_2mm.cluster387,387,7Networks_RH_Default_PFCdPFCm_9,4,44,40
Schaefer2018_400Parcels_7Networks_order_FSLMNI152_2mm.cluster388,388,7Networks_RH_Default_PFCdPFCm_10,26,34,38
Schaefer2018_400Parcels_7Networks_order_FSLMNI152_2mm.cluster389,389,7Networks_RH_Default_PFCdPFCm_11,14,38,52
Schaefer2018_400Parcels_7Networks_order_FSLMNI152_2mm.cluster390,390,7Networks_RH_Default_PFCdPFCm_12,24,26,50
Schaefer2018_400Parcels_7Networks_order_FSLMNI152_2mm.cluster391,391,7Networks_RH_Default_PFCdPFCm_13,12,20,62
Schaefer2018_400Parcels_7Networks_order_FSLMNI152_2mm.cluster392,392,7Networks_RH_Default_pCunPCC_1,12,-56,16
Schaefer2018_400Parcels_7Networks_order_FSLMNI152_2mm.cluster393,393,7Networks_RH_Default_pCunPCC_2,8,-44,20
Schaefer2018_400Parcels_7Networks_order_FSLMNI152_2mm.cluster394,394,7Networks_RH_Default_pCunPCC_3,16,-64,28
Schaefer2018_400Parcels_7Networks_order_FSLMNI152_2mm.cluster395,395,7Networks_RH_Default_pCunPCC_4,6,-52,24
Schaefer2018_400Parcels_7Networks_order_FSLMNI152_2mm.cluster396,396,7Networks_RH_Default_pCunPCC_5,4,-64,32
Schaefer2018_400Parcels_7Networks_order_FSLMNI152_2mm.cluster397,397,7Networks_RH_Default_pCunPCC_6,6,-38,34
Schaefer2018_400Parcels_7Networks_order_FSLMNI152_2mm.cluster398,398,7Networks_RH_Default_pCunPCC_7,4,-20,36
Schaefer2018_400Parcels_7Networks_order_FSLMNI152_2mm.cluster399,399,7Networks_RH_Default_pCunPCC_8,10,-52,36
Schaefer2018_400Parcels_7Networks_order_FSLMNI152_2mm.cluster400,400,7Networks_RH_Default_pCunPCC_9,8,-50,44
Tian_Subcortex_S3_3T.cluster001,,,,,
Tian_Subcortex_S3_3T.cluster002,,,,,
Tian_Subcortex_S3_3T.cluster003,,,,,
Tian_Subcortex_S3_3T.cluster004,,,,,
Tian_Subcortex_S3_3T.cluster005,,,,,
Tian_Subcortex_S3_3T.cluster006,,,,,
Tian_Subcortex_S3_3T.cluster007,,,,,
Tian_Subcortex_S3_3T.cluster008,,,,,
Tian_Subcortex_S3_3T.cluster009,,,,,
Tian_Subcortex_S3_3T.cluster010,,,,,
Tian_Subcortex_S3_3T.cluster011,,,,,
Tian_Subcortex_S3_3T.cluster012,,,,,
Tian_Subcortex_S3_3T.cluster013,,,,,
Tian_Subcortex_S3_3T.cluster014,,,,,
Tian_Subcortex_S3_3T.cluster015,,,,,
Tian_Subcortex_S3_3T.cluster016,,,,,
Tian_Subcortex_S3_3T.cluster017,,,,,
Tian_Subcortex_S3_3T.cluster018,,,,,
Tian_Subcortex_S3_3T.cluster019,,,,,
Tian_Subcortex_S3_3T.cluster020,,,,,
Tian_Subcortex_S3_3T.cluster021,,,,,
Tian_Subcortex_S3_3T.cluster022,,,,,
Tian_Subcortex_S3_3T.cluster023,,,,,
Tian_Subcortex_S3_3T.cluster024,,,,,
Tian_Subcortex_S3_3T.cluster025,,,,,
Tian_Subcortex_S3_3T.cluster026,,,,,
Tian_Subcortex_S3_3T.cluster027,,,,,
Tian_Subcortex_S3_3T.cluster028,,,,,
Tian_Subcortex_S3_3T.cluster029,,,,,
Tian_Subcortex_S3_3T.cluster030,,,,,
Tian_Subcortex_S3_3T.cluster031,,,,,
Tian_Subcortex_S3_3T.cluster032,,,,,
Tian_Subcortex_S3_3T.cluster033,,,,,
Tian_Subcortex_S3_3T.cluster034,,,,,
Tian_Subcortex_S3_3T.cluster035,,,,,
Tian_Subcortex_S3_3T.cluster036,,,,,
Tian_Subcortex_S3_3T.cluster037,,,,,
Tian_Subcortex_S3_3T.cluster038,,,,,
Tian_Subcortex_S3_3T.cluster039,,,,,
Tian_Subcortex_S3_3T.cluster040,,,,,
Tian_Subcortex_S3_3T.cluster041,,,,,
Tian_Subcortex_S3_3T.cluster042,,,,,
Tian_Subcortex_S3_3T.cluster043,,,,,
Tian_Subcortex_S3_3T.cluster044,,,,,
Tian_Subcortex_S3_3T.cluster045,,,,,
Tian_Subcortex_S3_3T.cluster046,,,,,
Tian_Subcortex_S3_3T.cluster047,,,,,
Tian_Subcortex_S3_3T.cluster048,,,,,
Tian_Subcortex_S3_3T.cluster049,,,,,
Tian_Subcortex_S3_3T.cluster050,,,,,
Tian_Subcortex_S4_3T.cluster001,,,,,
Tian_Subcortex_S4_3T.cluster002,,,,,
Tian_Subcortex_S4_3T.cluster003,,,,,
Tian_Subcortex_S4_3T.cluster004,,,,,
Tian_Subcortex_S4_3T.cluster005,,,,,
Tian_Subcortex_S4_3T.cluster006,,,,,
Tian_Subcortex_S4_3T.cluster007,,,,,
Tian_Subcortex_S4_3T.cluster008,,,,,
Tian_Subcortex_S4_3T.cluster009,,,,,
Tian_Subcortex_S4_3T.cluster010,,,,,
Tian_Subcortex_S4_3T.cluster011,,,,,
Tian_Subcortex_S4_3T.cluster012,,,,,
Tian_Subcortex_S4_3T.cluster013,,,,,
Tian_Subcortex_S4_3T.cluster014,,,,,
Tian_Subcortex_S4_3T.cluster015,,,,,
Tian_Subcortex_S4_3T.cluster016,,,,,
Tian_Subcortex_S4_3T.cluster017,,,,,
Tian_Subcortex_S4_3T.cluster018,,,,,
Tian_Subcortex_S4_3T.cluster019,,,,,
Tian_Subcortex_S4_3T.cluster020,,,,,
Tian_Subcortex_S4_3T.cluster021,,,,,
Tian_Subcortex_S4_3T.cluster022,,,,,
Tian_Subcortex_S4_3T.cluster023,,,,,
Tian_Subcortex_S4_3T.cluster024,,,,,
Tian_Subcortex_S4_3T.cluster025,,,,,
Tian_Subcortex_S4_3T.cluster026,,,,,
Tian_Subcortex_S4_3T.cluster027,,,,,
Tian_Subcortex_S4_3T.cluster028,,,,,
Tian_Subcortex_S4_3T.cluster029,,,,,
Tian_Subcortex_S4_3T.cluster030,,,,,
Tian_Subcortex_S4_3T.cluster031,,,,,
Tian_Subcortex_S4_3T.cluster032,,,,,
Tian_Subcortex_S4_3T.cluster033,,,,,
Tian_Subcortex_S4_3T.cluster034,,,,,
Tian_Subcortex_S4_3T.cluster035,,,,,
Tian_Subcortex_S4_3T.cluster036,,,,,
Tian_Subcortex_S4_3T.cluster037,,,,,
Tian_Subcortex_S4_3T.cluster038,,,,,
Tian_Subcortex_S4_3T.cluster039,,,,,
Tian_Subcortex_S4_3T.cluster040,,,,,
Tian_Subcortex_S4_3T.cluster041,,,,,
Tian_Subcortex_S4_3T.cluster042,,,,,
Tian_Subcortex_S4_3T.cluster043,,,,,
Tian_Subcortex_S4_3T.cluster044,,,,,
Tian_Subcortex_S4_3T.cluster045,,,,,
Tian_Subcortex_S4_3T.cluster046,,,,,
Tian_Subcortex_S4_3T.cluster047,,,,,
Tian_Subcortex_S4_3T.cluster048,,,,,
Tian_Subcortex_S4_3T.cluster049,,,,,
Tian_Subcortex_S4_3T.cluster050,,,,,
Tian_Subcortex_S4_3T.cluster051,,,,,
Tian_Subcortex_S4_3T.cluster052,,,,,
Tian_Subcortex_S4_3T.cluster053,,,,,
Tian_Subcortex_S4_3T.cluster054,,,,,
AAN_DR_MNI152_1mm_v1p0_20150630,,,,,
AAN_LC_MNI152_1mm_v1p0_20150630,,,,,
AAN_MRF_MNI152_1mm_v1p0_20150630,,,,,
AAN_MR_MNI152_1mm_v1p0_20150630,,,,,
AAN_PAG_MNI152_1mm_v1p0_20150630,,,,,
AAN_PBC_MNI152_1mm_v1p0_20150630,,,,,
AAN_PO_MNI152_1mm_v1p0_20150630,,,,,
AAN_PPN_MNI152_1mm_v1p0_20150630,,,,,
AAN_VTA_MNI152_1mm_v1p0_20150630,,,,,
OWN_DORSAL_dPAG_MNI152_1mm_v1_fsledit,,,,,
OWN_VENTRAL_vPAG_MNI152_1mm_v1_fsledit,,,,,
Serotonergic_Whole_from_HAAN,,,,,
summed_AAN_ROIs_bin_FILLED,,,,,
realignment,,,,,
scrubbing,,,,,
QC_timeseries,,,,,
Effect of rest,,,,,